,base,clouds,cod,coord,dt,id,main,name,rain,snow,sys,visibility,weather,wind
0,stations,{'all': 90},200,"{'lon': -73.75, 'lat': 42.65}",1547585820,5106834,"{'temp': 271.19, 'pressure': 1019, 'humidity': 63, 'temp_min': 269.15, 'temp_max': 273.15}",Albany,,,"{'type': 1, 'id': 3273, 'message': 0.0046, 'country': 'US', 'sunrise': 1547554925, 'sunset': 1547588858}",16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 2.1, 'deg': 360}"
1,stations,{'all': 75},200,"{'lon': -68.31, 'lat': -54.81}",1547586000,3833367,"{'temp': 282.15, 'pressure': 988, 'humidity': 87, 'temp_min': 282.15, 'temp_max': 282.15}",Ushuaia,,,"{'type': 1, 'id': 8303, 'message': 0.0055, 'country': 'AR', 'sunrise': 1547540613, 'sunset': 1547600475}",10000.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]","{'speed': 12.9, 'deg': 230, 'gust': 18}"
2,stations,{'all': 75},200,"{'lon': 147.33, 'lat': -42.88}",1547586000,2163355,"{'temp': 290.15, 'pressure': 1010, 'humidity': 63, 'temp_min': 290.15, 'temp_max': 290.15}",Hobart,,,"{'type': 1, 'id': 9545, 'message': 0.0051, 'country': 'AU', 'sunrise': 1547491852, 'sunset': 1547545735}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 5.1, 'deg': 160}"
3,stations,{'all': 48},200,"{'lon': 67.41, 'lat': 59.65}",1547587231,1502697,"{'temp': 261.819, 'pressure': 1021.02, 'humidity': 83, 'temp_min': 261.819, 'temp_max': 261.819, 'sea_level': 1026.84, 'grnd_level': 1021.02}",Kondinskoye,,,"{'message': 0.003, 'country': 'RU', 'sunrise': 1547525682, 'sunset': 1547550340}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 3.08, 'deg': 204.5}"
4,stations,{'all': 75},200,"{'lon': -159.78, 'lat': -21.21}",1547586000,4035715,"{'temp': 302.15, 'pressure': 1011, 'humidity': 70, 'temp_min': 302.15, 'temp_max': 302.15}",Avarua,,,"{'type': 1, 'id': 7271, 'message': 0.0033, 'country': 'CK', 'sunrise': 1547568648, 'sunset': 1547616408}",10000.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]","{'speed': 3.6, 'deg': 100}"
5,stations,{'all': 20},200,"{'lon': 127.51, 'lat': 50.24}",1547586000,2036973,"{'temp': 247.15, 'pressure': 1013, 'humidity': 83, 'temp_min': 247.15, 'temp_max': 247.15}",Heihe,,,"{'type': 1, 'id': 8859, 'message': 0.0054, 'country': 'RU', 'sunrise': 1547508203, 'sunset': 1547538956}",6000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 6.53, 'deg': 341}"
6,stations,{'all': 8},200,"{'lon': 115.35, 'lat': -33.64}",1547587231,2075265,"{'temp': 288.594, 'pressure': 1025.07, 'humidity': 100, 'temp_min': 288.594, 'temp_max': 288.594, 'sea_level': 1026.11, 'grnd_level': 1025.07}",Busselton,,,"{'message': 0.0032, 'country': 'AU', 'sunrise': 1547501048, 'sunset': 1547551903}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 6.28, 'deg': 157}"
7,stations,{'all': 0},200,"{'lon': 163.07, 'lat': 59.24}",1547587231,2122389,"{'temp': 244.469, 'pressure': 1018.51, 'humidity': 85, 'temp_min': 244.469, 'temp_max': 244.469, 'sea_level': 1032.59, 'grnd_level': 1018.51}",Ossora,,,"{'message': 0.0032, 'country': 'RU', 'sunrise': 1547502567, 'sunset': 1547527526}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.13, 'deg': 327}"
8,stations,{'all': 20},200,"{'lon': -25.67, 'lat': 37.73}",1547584200,3372783,"{'temp': 288.15, 'pressure': 1027, 'humidity': 82, 'temp_min': 288.15, 'temp_max': 288.15}",Ponta Delgada,,,"{'type': 1, 'id': 6899, 'message': 0.0035, 'country': 'PT', 'sunrise': 1547542595, 'sunset': 1547578101}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 3.38, 'deg': 280}"
9,stations,{'all': 24},200,"{'lon': 73.08, 'lat': -0.6}",1547587232,1282256,"{'temp': 299.994, 'pressure': 1024.43, 'humidity': 100, 'temp_min': 299.994, 'temp_max': 299.994, 'sea_level': 1024.53, 'grnd_level': 1024.43}",Hithadhoo,,,"{'message': 0.0032, 'country': 'MV', 'sunrise': 1547514759, 'sunset': 1547558508}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 0.98, 'deg': 353.5}"
10,stations,{'all': 0},200,"{'lon': -96.99, 'lat': 50.56}",1547587232,5961417,"{'temp': 256.419, 'pressure': 1006.43, 'humidity': 78, 'temp_min': 256.419, 'temp_max': 256.419, 'sea_level': 1038.94, 'grnd_level': 1006.43}",Husavik,,,"{'message': 0.003, 'country': 'CA', 'sunrise': 1547562131, 'sunset': 1547592815}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 8.88, 'deg': 346}"
11,stations,{'all': 8},200,"{'lon': -39.27, 'lat': -17.73}",1547587232,3466980,"{'temp': 300.169, 'pressure': 1028.64, 'humidity': 100, 'temp_min': 300.169, 'temp_max': 300.169, 'sea_level': 1028.6, 'grnd_level': 1028.64}",Caravelas,,,"{'message': 0.0031, 'country': 'BR', 'sunrise': 1547540081, 'sunset': 1547587118}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 6.38, 'deg': 59.5005}"
12,stations,{'all': 8},200,"{'lon': 114.09, 'lat': 71.97}",1547587233,2017155,"{'temp': 234.094, 'pressure': 1018.59, 'humidity': 78, 'temp_min': 234.094, 'temp_max': 234.094, 'sea_level': 1032.35, 'grnd_level': 1018.59}",Saskylakh,,,"{'message': 0.0035, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02d'}]","{'speed': 6.73, 'deg': 150}"
13,stations,{'all': 24},200,"{'lon': -37.64, 'lat': 65.61}",1547585400,3424607,"{'temp': 260.15, 'pressure': 1017, 'humidity': 42, 'temp_min': 260.15, 'temp_max': 260.15}",Tasiilaq,,,"{'type': 1, 'id': 81, 'message': 0.0061, 'country': 'GL', 'sunrise': 1547554521, 'sunset': 1547571944}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 1, 'deg': 220}"
14,stations,{'all': 92},200,"{'lon': -6.59, 'lat': 62.23}",1547585400,2618795,"{'temp': 276.15, 'pressure': 992, 'humidity': 100, 'temp_min': 276.15, 'temp_max': 276.15}",Klaksvik,,,"{'type': 1, 'id': 1596, 'message': 0.0031, 'country': 'FO', 'sunrise': 1547544716, 'sunset': 1547566837}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'speed': 0.5}
15,stations,{'all': 20},200,"{'lon': 2.43, 'lat': 6.37}",1547582400,2394819,"{'temp': 302.15, 'pressure': 1011, 'humidity': 83, 'temp_min': 302.15, 'temp_max': 302.15}",Cotonou,,,"{'type': 1, 'id': 1119, 'message': 0.0032, 'country': 'BJ', 'sunrise': 1547532363, 'sunset': 1547574828}",8000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 5.1, 'deg': 210}"
16,stations,{'all': 8},200,"{'lon': 73.07, 'lat': 6.62}",1547587234,1337613,"{'temp': 300.994, 'pressure': 1024.83, 'humidity': 100, 'temp_min': 300.994, 'temp_max': 300.994, 'sea_level': 1024.81, 'grnd_level': 1024.83}",Kulhudhuffushi,,,"{'message': 0.003, 'country': 'MV', 'sunrise': 1547515429, 'sunset': 1547557846}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 3.18, 'deg': 53.5005}"
17,stations,{'all': 0},200,"{'lon': 6.97, 'lat': 43.56}",1547586000,3037456,"{'temp': 276.59, 'pressure': 1020, 'humidity': 69, 'temp_min': 273.15, 'temp_max': 280.15}",Saint-Joseph,,,"{'type': 1, 'id': 6507, 'message': 0.0072, 'country': 'FR', 'sunrise': 1547535721, 'sunset': 1547569307}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'speed': 2.1}
